,0
0,0.000975
1,0.00195
2,0.0036
3,0.005475
4,0.008
5,0.0126
6,0.01605
7,0.0251
8,0.048775
9,0.10805
10,0.220425
11,0.373025
12,0.5295
13,0.66365
14,0.75385
15,0.8083
16,0.83835
17,0.8537
18,0.868575
19,0.8757
20,0.88455
21,0.8919
22,0.896
23,0.90505
24,0.9127
25,0.91875
26,0.922675
27,0.9294
28,0.9325
29,0.939225
30,0.94625
31,0.949375
32,0.952175
33,0.95615
34,0.95985
35,0.961975
36,0.965925
37,0.971475
38,0.9734
39,0.974925
40,0.97575
41,0.978325
42,0.98025
43,0.9823
44,0.983075
45,0.9857
46,0.98735
47,0.987275
48,0.9891
49,0.9904
50,0.990075
51,0.991325
52,0.99315
53,0.99255
54,0.9939
55,0.99465
56,0.995475
57,0.995475
58,0.996225
59,0.99625
60,0.996425
61,0.9973
62,0.997075
63,0.997525
64,0.9979
65,0.9981
66,0.99825
67,0.99845
68,0.9985
69,0.998575
70,0.999175
71,0.99895
72,0.99935
73,0.998925
74,0.999175
75,0.9993
76,0.999325
77,0.9995
78,0.999425
79,0.999425
80,0.9996
81,0.99965
82,0.9997
83,0.99965
84,0.999775
85,0.99985
86,0.99985
87,0.999925
88,0.99985
89,0.999875
90,0.999775
91,0.99985
92,0.99995
93,0.99995
94,0.99995
95,0.999975
96,0.999875
97,0.99995
98,0.9999
99,0.999975
100,0.000975
101,0.001375
102,0.00365
103,0.0062
104,0.008375
105,0.011725
106,0.017825
107,0.0269
108,0.052825
109,0.12305
110,0.242775
111,0.400625
112,0.555625
113,0.678875
114,0.765025
115,0.81495
116,0.83855
117,0.857125
118,0.867425
119,0.878
120,0.88685
121,0.8934
122,0.90165
123,0.906575
124,0.9127
125,0.91935
126,0.9258
127,0.929125
128,0.93735
129,0.941325
130,0.943275
131,0.95005
132,0.9532
133,0.957425
134,0.96105
135,0.964775
136,0.9666
137,0.9697
138,0.97355
139,0.973675
140,0.9769
141,0.978775
142,0.981025
143,0.9826
144,0.984025
145,0.985425
146,0.9872
147,0.988625
148,0.98985
149,0.9904
150,0.99055
151,0.99195
152,0.992675
153,0.992875
154,0.994725
155,0.994575
156,0.994775
157,0.995575
158,0.996275
159,0.9968
160,0.99625
161,0.996575
162,0.997375
163,0.99735
164,0.997825
165,0.998
166,0.99795
167,0.998425
168,0.9983
169,0.9987
170,0.99925
171,0.9988
172,0.9991
173,0.999375
174,0.999325
175,0.999425
176,0.9993
177,0.999375
178,0.999575
179,0.999475
180,0.99965
181,0.99955
182,0.9997
183,0.999725
184,0.99975
185,1.0
186,0.999875
187,0.999925
188,0.99985
189,0.999925
190,0.9999
191,0.99985
192,0.999875
193,0.9999
194,0.9999
195,0.99995
196,1.0
197,0.999975
198,0.9999
199,0.999975
200,0.001125
201,0.002075
202,0.0034
203,0.0059
204,0.00935
205,0.01305
206,0.01795
207,0.0283
208,0.0632
209,0.132525
210,0.2617
211,0.41875
212,0.5751
213,0.699525
214,0.777025
215,0.8211
216,0.844975
217,0.86135
218,0.870125
219,0.880475
220,0.8889
221,0.896425
222,0.902675
223,0.90915
224,0.9137
225,0.9239
226,0.927725
227,0.931925
228,0.938575
229,0.942025
230,0.9472
231,0.951525
232,0.9543
233,0.95925
234,0.961475
235,0.965275
236,0.9683
237,0.97185
238,0.973575
239,0.9758
240,0.97815
241,0.9788
